,DateTime,PM10,PM25,Ta,Pa,RH
0,2021-01-02 11:12:40.027962,0.0,0.0,0.0,0.0,0.0
1,2021-01-02 11:12:40.352374,21.8,19.1,18.3,1011.701,44.5
2,2021-01-02 11:12:43.352398,21.9,19.2,18.2,1011.683,44.5
3,2021-01-02 11:12:46.346983,22.9,19.9,18.1,1011.632,44.1
4,2021-01-02 11:12:49.341744,22.8,20.1,18.0,1011.686,44.0
5,2021-01-02 11:12:52.336337,22.9,20.3,18.0,1011.627,44.1
6,2021-01-02 11:12:55.330749,23.3,20.6,18.0,1011.694,44.1
7,2021-01-02 11:12:58.325309,24.0,21.2,17.9,1011.633,43.9
8,2021-01-02 11:13:01.320038,25.2,21.4,17.9,1011.603,44.0
9,2021-01-02 11:13:04.314669,25.4,21.8,17.9,1011.723,43.9
10,2021-01-02 11:13:07.309226,26.7,22.3,17.8,1011.612,43.7
11,2021-01-02 11:13:10.301920,28.0,23.1,17.7,1011.651,43.7
12,2021-01-02 11:13:13.296500,28.2,23.4,17.6,1011.641,43.8
13,2021-01-02 11:13:16.291593,28.6,23.5,17.5,1011.609,43.8
14,2021-01-02 11:13:19.285865,29.5,24.0,17.4,1011.633,43.9
15,2021-01-02 11:13:22.280522,30.8,24.7,17.4,1011.688,44.1
16,2021-01-02 11:13:25.275291,31.9,24.8,17.3,1011.653,44.2
17,2021-01-02 11:13:28.269965,31.8,24.8,17.1,1011.669,44.3
18,2021-01-02 11:13:31.264438,31.3,25.2,17.1,1011.634,46.3
19,2021-01-02 11:13:34.259128,31.8,25.5,17.0,1011.638,45.2
20,2021-01-02 11:13:37.253763,31.5,25.5,17.0,1011.624,45.3
21,2021-01-02 11:13:40.241106,30.6,25.0,16.9,1011.693,45.4
22,2021-01-02 11:13:43.243101,31.5,25.1,16.9,1011.69,45.5
23,2021-01-02 11:13:46.237770,30.7,24.9,16.9,1011.642,45.6
24,2021-01-02 11:13:49.232258,29.4,24.5,16.8,1011.65,45.7
25,2021-01-02 11:13:52.224539,28.4,24.3,16.8,1011.663,45.8
26,2021-01-02 11:13:55.218910,27.2,24.2,16.7,1011.628,45.9
27,2021-01-02 11:13:58.213359,27.1,24.1,16.7,1011.647,46.0
28,2021-01-02 11:14:01.207593,26.5,23.5,16.6,1011.689,46.0
29,2021-01-02 11:14:04.202051,26.2,23.3,16.6,1011.597,46.2
30,2021-01-02 11:14:07.194491,25.7,22.9,16.6,1011.597,46.2
31,2021-01-02 11:14:10.188902,25.9,23.1,16.6,1011.576,46.2
32,2021-01-02 11:14:13.183388,25.5,22.8,16.6,1011.619,46.2
33,2021-01-02 11:14:16.177907,25.3,22.6,16.6,1011.637,46.2
34,2021-01-02 11:14:19.170355,25.6,22.8,16.6,1011.62,46.1
35,2021-01-02 11:14:22.175771,25.5,22.7,16.6,1011.656,46.0
36,2021-01-02 11:14:25.159620,25.8,23.0,16.7,1011.604,46.0
37,2021-01-02 11:14:28.154002,25.9,23.1,16.7,1011.633,46.5
38,2021-01-02 11:14:31.146654,25.7,22.9,16.7,1011.543,47.1
39,2021-01-02 11:14:34.141082,25.6,22.8,16.7,1011.55,47.1
40,2021-01-02 11:14:37.135588,25.8,23.0,16.8,1011.613,46.7
41,2021-01-02 11:14:40.131570,29.3,23.2,16.8,1011.573,46.9
42,2021-01-02 11:14:43.122683,30.4,23.3,16.8,1011.63,46.6
43,2021-01-02 11:14:46.118009,30.9,23.4,16.8,1011.547,46.5
44,2021-01-02 11:14:49.111815,30.4,23.1,16.8,1011.601,46.5
45,2021-01-02 11:14:52.104549,31.0,22.6,16.8,1011.619,46.9
46,2021-01-02 11:14:55.099078,30.5,22.1,16.8,1011.583,46.7
47,2021-01-02 11:14:58.093583,35.3,22.0,16.8,1011.56,47.2
48,2021-01-02 11:15:01.088165,35.9,21.9,16.9,1011.622,47.3
49,2021-01-02 11:15:04.082717,35.9,21.9,16.9,1011.625,47.5
50,2021-01-02 11:15:08.075581,31.7,21.0,16.9,1011.622,47.8
51,2021-01-02 11:15:11.068592,31.2,21.0,16.7,1011.555,46.3
52,2021-01-02 11:15:14.062708,30.8,21.4,16.5,1011.634,45.4
53,2021-01-02 11:15:17.057528,31.5,22.5,15.9,1011.586,45.3
54,2021-01-02 11:15:20.051862,33.3,24.5,15.2,1011.526,45.9
55,2021-01-02 11:15:23.046381,35.0,27.2,14.5,1011.582,46.9
56,2021-01-02 11:15:26.041060,37.0,28.9,14.0,1011.613,47.8
57,2021-01-02 11:15:29.035634,34.3,30.6,13.5,1011.605,48.7
58,2021-01-02 11:15:32.030338,37.2,33.2,12.9,1011.617,49.8
59,2021-01-02 11:15:35.024832,39.7,35.5,12.4,1011.582,50.8
60,2021-01-02 11:15:38.017464,42.4,37.8,12.0,1011.614,51.7
61,2021-01-02 11:15:41.012213,44.5,39.7,11.6,1011.636,52.6
62,2021-01-02 11:15:44.006570,46.9,41.6,11.4,1011.657,53.4
63,2021-01-02 11:15:47.001290,48.2,42.6,11.1,1011.618,54.1
64,2021-01-02 11:15:49.993727,48.7,42.8,10.8,1011.643,54.9
65,2021-01-02 11:15:52.988372,48.8,43.0,10.6,1011.666,55.6
66,2021-01-02 11:15:55.980984,49.1,43.4,10.3,1011.655,56.2
67,2021-01-02 11:15:58.976102,49.8,43.8,10.1,1011.659,56.8
68,2021-01-02 11:16:01.968402,51.0,44.1,9.9,1011.683,57.4
69,2021-01-02 11:16:04.967186,51.6,44.5,9.6,1011.688,58.0
70,2021-01-02 11:16:07.959587,51.8,44.7,9.5,1011.655,58.6
71,2021-01-02 11:16:10.950196,52.9,45.4,9.3,1011.679,59.1
72,2021-01-02 11:16:13.942725,51.9,45.3,9.2,1011.675,59.6
73,2021-01-02 11:16:16.947941,52.1,45.1,9.0,1011.691,60.1
74,2021-01-02 11:16:19.934069,52.3,45.3,8.8,1011.679,60.6
75,2021-01-02 11:16:22.926573,52.9,45.3,8.6,1011.722,61.2
76,2021-01-02 11:16:25.915130,54.6,45.9,8.4,1011.666,61.7
77,2021-01-02 11:16:28.909880,55.4,46.5,8.3,1011.643,62.3
78,2021-01-02 11:16:31.902701,54.1,46.2,8.1,1011.668,62.8
79,2021-01-02 11:16:34.895070,54.5,46.1,8.0,1011.683,63.2
80,2021-01-02 11:16:37.889770,54.7,45.9,7.9,1011.643,63.5
81,2021-01-02 11:16:40.882323,53.4,44.9,8.0,1011.66,63.9
82,2021-01-02 11:16:43.876948,53.9,45.0,8.0,1011.645,63.9
83,2021-01-02 11:16:46.871205,52.2,43.8,8.1,1011.631,64.0
84,2021-01-02 11:16:49.868270,51.3,42.8,8.1,1011.687,63.9
85,2021-01-02 11:16:52.860939,50.6,42.3,8.1,1011.615,63.9
86,2021-01-02 11:16:55.853672,48.8,40.7,8.1,1011.694,63.9
87,2021-01-02 11:16:58.842047,47.4,39.8,8.2,1011.698,64.1
88,2021-01-02 11:17:01.836704,47.3,39.2,8.0,1011.67,64.0
89,2021-01-02 11:17:04.833347,46.8,38.8,8.0,1011.696,64.2
90,2021-01-02 11:17:07.825972,46.9,39.3,8.0,1011.685,64.4
91,2021-01-02 11:17:10.818758,47.5,39.8,8.0,1011.634,64.6
92,2021-01-02 11:17:13.813736,47.5,39.8,7.9,1011.643,64.9
93,2021-01-02 11:17:16.805730,49.8,41.3,7.9,1011.703,65.1
94,2021-01-02 11:17:19.798501,51.4,42.5,7.9,1011.638,65.0
95,2021-01-02 11:17:22.793050,50.8,42.1,7.8,1011.651,64.9
96,2021-01-02 11:17:25.785651,51.6,43.1,7.8,1011.658,65.0
97,2021-01-02 11:17:28.778294,52.3,43.4,7.7,1011.708,65.2
98,2021-01-02 11:17:31.771137,52.8,43.5,7.7,1011.721,65.3
99,2021-01-02 11:17:34.759547,54.0,44.1,7.7,1011.71,65.5
100,2021-01-02 11:17:37.756194,54.0,43.4,7.7,1011.756,65.6
101,2021-01-02 11:17:40.751170,54.0,43.6,7.6,1011.726,65.7
102,2021-01-02 11:17:43.743360,54.5,43.8,7.5,1011.67,65.8
103,2021-01-02 11:17:46.736112,53.8,43.5,7.5,1011.71,66.0
104,2021-01-02 11:17:49.725688,53.2,43.5,7.4,1011.721,66.3
105,2021-01-02 11:17:52.717596,54.7,44.5,7.4,1011.683,66.4
106,2021-01-02 11:17:55.714063,54.4,44.3,7.4,1011.685,66.5
107,2021-01-02 11:17:58.704424,54.2,44.4,7.4,1011.675,66.5
108,2021-01-02 11:18:01.696910,55.2,45.2,7.4,1011.65,66.7
109,2021-01-02 11:18:04.689598,54.4,44.7,7.3,1011.682,66.8
110,2021-01-02 11:18:07.682158,53.9,44.7,7.2,1011.66,66.9
111,2021-01-02 11:18:10.672819,54.8,45.0,7.2,1011.665,67.1
112,2021-01-02 11:18:13.663657,55.1,45.0,7.2,1011.63,67.2
